rule	ordinal	base_json	target_json
Dummy: Spawn	23	" [{0}] : Change Select "	"[{0}] : Change Select"
Dummy: Spawn	24	"Regular Customer/Disaster Never Ends/Picky Customer/Impatient Customer/Competitive Eater/Reserved Customer/Food Critic/Mukbang YouTuber/Weirdo Customer/Tank Rights Rep/elBuffi VVIP/Culinary Researcher/{0}"	"Regular Customer/ANTID wont stop us/Picky Customer/Impatient Customer/Competitive Eater/Reserved Customer/Food Critic/Mukbang YouTuber/Weirdo Customer/Mauga Main/elBuffi VVIP/Culinary Researcher/{0}"
Dummy: Spawn	25	"Solo Diner/Suspicious Customer/Foxy Customer/Gourmet/Chaotic Customer/Suffering Customer/Delivery Cat/Just Heal Quietly/Karen"	"Solo Diner/Suspicious Customer/Foxy Customer/Gourmet/Chaotic Customer/Suffering Customer/Delivery Cat/For Honor and Beer/Karen"
Global subroutine: Foot Hud	0	"[{0}]"	" [{0}] "
Global subroutine: Foot Hud	3	"Jump high into the air\r\nto reach elevated places."	"Jump high into the air\r\nto reach higher floors"
Global subroutine: Foot Hud	4	"Versatile boots that let you\r\ndash quickly forward."	"Versatile boots that let you\r\ndash quickly forward"
Global subroutine: Foot Hud	5	"Use while holding an ordered dish\r\nto teleport to its table."	"Use while holding an ordered dish\r\nto teleport to its table"
Global subroutine: Knife Hud	1	"An ordinary knife\r\nsold at Daiso."	"A flimsy butter knife\r\nfrom a discount store"
Global subroutine: Knife Hud	4	"A kitchen knife with\r\ndecent durability and performance."	"Cuts ingredients faster\r\nand lasts longer"
Global subroutine: Knife Hud	7	"A legendary knife that lets you\r\nchop ingredients while holding them."	"A legendary knife that lets you\r\nchop ingredients while holding them"
Global subroutine: Knife Hud	10	"A high-end knife with\r\nexcellent durability and performance."	"Cuts quickly and\r\nloses very little durability"
Global subroutine: Knife Hud	11	"A rare knife that lets you\r\nchop ingredients while holding them."	"Lets you chop ingredients\r\nwhile holding them"
Global subroutine: Knife Hud	12	"A rare knife with\r\nexceptional durability and performance."	"Cuts ingredients\r\ntwice as fast"
Global subroutine: Knife Hud	13	"Lets you unleash rapid strikes\r\non a cutting board."	"Lets you unleash rapid strikes\r\non a cutting board"
Global subroutine: Perk Hud	0	"[{0}]"	" [{0}] "
Global subroutine: Perk Hud	4	"Increases chopping and movement speed\r\nfor 100 seconds."	"Increases chopping and movement speed\r\nfor 100 seconds"
Global subroutine: Perk Hud	5	"Briefly slows time while boosting\r\nknife, movement, and appliance speed."	"Briefly activates Bullet Time\r\nand overboosting all action speeds"
Global subroutine: Perk Hud	6	"Use while holding an ingredient\r\nto restore its freshness."	"Use while holding an ingredient\r\nto restore its freshness"
Global subroutine: Perk Hud	7	"Sucks up unwanted ingredients\r\nso you can skip the cleanup."	"Make unwanted ingredients disappear\r\nSay goodbye to cleanup!"
Global subroutine: Perk Hud	8	"Use while holding food\r\nto duplicate it."	"Use while holding food\r\nto duplicate it"
Global subroutine: Perk Hud	12	"Apparently, a hamster\r\nis looking for a part-time job."	"The hamster says\r\nhe is seeking part-time employment"
Global subroutine: Perk Hud	13	"Dispenses an ingredient pack for the current round.\r\nOpen the pack with a knife."	"Dispenses an ingredient pack for the current round\r\nOpen the pack with a knife"
Global subroutine: Perk Hud	14	"Freeze ingredients anywhere\r\nwithout using the Ice Maker."	"Shoots a freezing blast to\r\nfreeze ingredients anywhere"
Global subroutine: Scoreboard	17	"Failed at Stage {0}"	"Stage {0}"
Global subroutine: Set Hint Text	0	"Cook dishes with ingredients from the Fridge.\r\nPan-fry or grill Beef, then serve it to the correct table."	"Cook dishes with ingredients from the Fridge.\r\nPan-fry or grill Beef, then serve it to the correct table"
Global subroutine: Set Hint Text	1	"Slice or chop ingredients on the cutting board.\r\nPan-fry or grill Sliced Beef."	"Slice or chop ingredients on the cutting board.\r\nPan-fry or grill Sliced Beef"
Global subroutine: Set Hint Text	2	"The same ingredient can become different dishes.\r\nGrill a whole Potato to make Grilled Potato."	"The same ingredient can become different dishes.\r\nGrill a whole Potato to make Grilled Potato"
Global subroutine: Set Hint Text	5	"Smashing can transform some ingredients.\r\nSteam a Potato, then slam the Steamed Potato onto the ground using momentum."	"Smashing can transform some ingredients.\r\nSteam a Potato, then slam the Steamed Potato onto the ground using momentum"
Global subroutine: Set Hint Text	6	"Some ingredients can be combined.\r\nCombine Boiled Pasta with Cream Sauce."	"Some ingredients can be combined.\r\nCombine Boiled Pasta with Cream Sauce"
Global subroutine: Set Hint Text	7	"Slice a Tomato and steam it in the Pot to make Tomato Sauce.\r\nSmash a Tomato to make Mashed Tomato faster."	"Slice a Tomato and steam it in the Pot to make Tomato Sauce.\r\nSmash a Tomato to make Mashed Tomato faster"
Global subroutine: Set Hint Text	8	"Customers have different traits.\r\nA Big Fat Customer gives more points but must be served twice."	"Customers have different traits.\r\nA Big Fat Customer gives more points but must be served twice"
Global subroutine: Set Hint Text	21	"Some customers leave if you serve a later arrival first."	"Some customers leave if you serve a later arrival first"
Global subroutine: Set Hint Text	22	"Serve them in the order shown on the order slips."	"Serve them in the order shown on the order slips"
Global subroutine: Set Hint Text	23	"A positive review from the Food Critic attracts more customers."	"A positive review from the Food Critic attracts more customers"
Global subroutine: Set Hint Text	24	"A Competitive Eater must be served three dishes."	"A Competitive Eater must be served three dishes"
Global subroutine: Set Hint Text	26	"A Reserved Customer orders before entering.\r\nRemember the reservation message briefly shown at the center of the screen."	"A Reserved Customer orders before entering.\r\nRemember the reservation message briefly shown at the center of the screen"
Global subroutine: Set Hint Text	27	"Cut Flour Dough, then smash it again to make Dumpling Wrapper."	"Cut Flour Dough, then smash it again to make Dumpling Wrapper"
Global subroutine: Set Hint Text	39	"View this theme's recipes at\r\nhttps://ow-restaurant.com/en."	"View this theme's recipes at\r\nhttps://ow-restaurant.com/en"
Global: Setting	27	"No Knife Available"	"  No Knife Available  "
Global: Setting	125	"{0} v260830\r\n\r\n{1}Restaurant Theme Integration\r\n  Cafe & Dessert and World Cuisine have been integrated into Assorted Sashimi Rice Bowl!\r\n{2}"	"{0} v260830\r\n\r\n{1}Restaurant Theme Integration\r\n  Cafe & Dessert and World Cuisine have been integrated into{2}"
Global: Setting	126	"  You can change the theme when entering the game or in Practice Mode."	" OverwatchCooked.\r\n  You can change the theme when entering the game or in Practice Mode."
Global: Setting	127	"{0} Balance Changes\r\n\r\n  Justice Giant's serving success reward has been increased from 5 to 10.\r\n{1}"	"{0} Balance Changes\r\n\r\n  Justice Giant's serving success reward has been increased from 5 to 10\r\n{1}"
Player: Control item	1	"[{0}]:  Equip Knife"	" [{0}]:  Equip Knife  "
Player: Control item	3	"[{0}]:  Equip Item"	" [{0}]:  Equip Item  "
Player: Control item	5	"[{0}]:  Pick Up"	" [{0}]:  Pick Up  "
Player: Control item	7	"[{0}]:  Chop"	" [{0}]:  Chop  "
Player: Reload button	5	"Please re-import code above\r\nto apply bug fixes and additional updates."	"Please re-import code above\r\nto apply bug fixes and additional updates"
