rule	ordinal	source	kr	en	jp	placeholders
Global: Setting	5	legacy-phrase	요리사		シェフ	
Global: Setting	6	legacy-phrase	홀 서버		ホール·スタッフ	
Global: Setting	7	legacy-phrase	수습생		見習い生	
Global: Setting	8	legacy-phrase	헤드셰프		ヘッドシェフ	
Global: Setting	9	legacy-phrase	〔{0}〕 - 직책 변경		〔{0}〕 - 役職変更	{0}
Global: Setting	12	legacy-phrase	솥		鍋	
Global: Setting	13	legacy-phrase	{0}초		{0}秒	{0}
Global: Setting	14	legacy-phrase	{0}초		{0}秒	{0}
Global: Setting	15	manual-global	오븐		オーブン	
Global: Setting	16	legacy-phrase	그릴		グリル	
Global: Setting	17	legacy-phrase	팬		フライパン	
Global: Setting	18	manual-global	제빙기		製氷機	
Global: Setting	20	legacy-phrase	싱크대		流し台	
Global: Setting	21	legacy-phrase	냉장고		冷蔵庫	
Global: Setting	22	manual-context	〔{0}〕:  물 내리기  		〔{0}〕:  水を流す  	{0}
Global: Setting	24	legacy-phrase	도마		まな板	
Global: Setting	25	legacy-phrase	도마		まな板	
Global: Setting	26	manual-context	〔{0}〕:  썰기  		〔{0}〕:  薄切り  	{0}
Global: Setting	27	manual-global	 칼이 없습니다  		キッチンナイフなし	
Global: Setting	29	legacy-phrase	튀김기		フライヤー	
Global: Setting	30	legacy-phrase	〔{0}〕: 영웅 변경		〔{0}〕: ヒーロー変更	{0}
Global: Setting	32	legacy-phrase	비어 있음		空	
Global: Setting	35	legacy-phrase	비어 있음		空	
Global: Setting	38	legacy-phrase	비어 있음		空	
Global: Setting	41	legacy-phrase	비어 있음		空	
Global: Setting	44	legacy-phrase	비어 있음		空	
Global: Setting	47	legacy-phrase	비어 있음		空	
Global: Setting	50	legacy-phrase	비어 있음		空	
Global: Setting	53	legacy-phrase	비어 있음		空	
Global: Setting	55	manual-global	레스토랑(SPXXM) v260902\r\ndiscord&recipes : ow-restaurant.com/ko		レストラン(4ND1P) v260902\r\ndiscord&recipes : ow-restaurant.com/ja	
Global: Setting	57	legacy-phrase	Score : {0}{2}\r\n내 직책 : {1}		Score : {0}{2}\r\n私の役職 : {1}	{0} {2} {1}
Global: Setting	61	legacy-phrase	{0} 제작 중인 특수 칼:{1}개		{0} 製作中のスペシャルナイフ:{1}つ	{0} {1}
Global: Setting	62	manual-global	{0} 솥:{1}% / 튀김&제빙:{2}%		{0} 鍋:{1}% / フライヤー&製氷機:{2}%	{0} {1} {2}
Global: Setting	63	legacy-phrase	{0} 솥:{1}% / 튀김:{2}%		{0} 鍋:{1}% / フライヤー:{2}%	{0} {1} {2}
Global: Setting	64	manual-global	{0} 팬:{1}% / 오븐:{2}%		{0} フライパン:{1}% / オーブン:{2}%	{0} {1} {2}
Global: Setting	65	legacy-phrase	{0} 팬:{1}% / 그릴:{2}%		{0} フライパン:{1}% / グリル:{2}%	{0} {1} {2}
Global: Setting	66	legacy-phrase	{0} 이속:{1}% / 시간:{2}초		{0} 移動速度:{1}% / 時間:{2}秒	{0} {1} {2}
Global: Setting	71	manual-global	제작: {0}		制作: {0}	{0}
Global: Setting	75	manual-global	[{0}]: 테마 변경		[{0}]: テーマ変更	{0}
Global: Setting	76	manual-global	 방장이 테마를 결정하는 중입니다		 ホストがテーマを選択中です	
Global: Setting	88	legacy-phrase	[{0}]: 모드 변경		[{0}]: モード変更	{0}
Global: Setting	89	manual-context	 방장이 모드를 결정하는 중입니다		 ホストがモードを選択中です	
Global: Setting	91	manual-global	로드 중...		ロード中...	
Global: Setting	92	manual-global	데이터 초기화 중...		データ初期化中...	
Global: Setting	112	legacy-phrase	〔{0}〕: 영업 개시		〔{0}〕: 営業開始	{0}
Global: Setting	113	legacy-phrase	연습 모드		練習モード	
